date,btc_price,eth_price,sol_price,lp_apy,funding_rate
2024-01-01,109037.62898981992,4012.8746544848354,199.97086024463263,159.51892720534116,-0.0002670224226198246
2024-01-02,109036.19195420305,3954.95786510652,198.6196856389622,153.44288799873283,-0.00023544401787737543
2024-01-03,109478.2451284344,3954.4849044511807,197.04836426921054,170.53440140883635,-3.6408612465228254e-05
2024-01-04,109149.11562277893,3917.3597710502822,196.8566056601791,164.89785103307355,9.296608934323758e-05
2024-01-05,109494.31588280037,3932.7819354456046,197.9924597667249,175.2875039378186,-9.750364553375826e-05
2024-01-06,109582.96664067224,3880.0618034991376,195.90732781094093,152.07965707685798,-0.00011736321525128928
2024-01-07,109511.14374748991,3873.9541686430007,195.4565164669884,185.281247668009,-0.0003204722529676112
2024-01-08,108737.36861584685,3838.489921023755,193.07610179486898,162.58257903251555,-8.960689015229371e-05
2024-01-09,108443.2047110639,3836.3094243307382,192.84245637030284,148.09032305596727,-0.0001589191081012821
2024-01-10,108390.05114000215,3816.1443617510186,193.29231194990257,159.22983752447243,-0.00031632958763488586
2024-01-11,107951.06280276366,3874.2837880527213,194.4422301221381,168.856738596563,-0.0002711126068648103
2024-01-12,107994.80965106399,3870.4954905038194,194.48462949070824,161.28845206449273,-0.0002777688394588261
2024-01-13,107489.0976950766,3838.717491933638,193.08437495411133,151.19286176947995,-0.0002701481147260043
2024-01-14,107737.33520368044,3846.1771568052436,192.08926393317435,164.56982301057874,-0.00014832136495128456
2024-01-15,107906.67054947585,3814.593932234974,191.7102328257181,150.46554412940083,-0.00024143994932544478
2024-01-16,107658.44408329007,3772.4582948795946,190.98074773802068,174.52840833422692,-0.0002561584794252199
2024-01-17,107182.17056467809,3773.5337635229725,191.07443112742214,191.03667934376867,-0.00016562829673779652
2024-01-18,107540.09321525355,3720.684008166363,191.03022757445876,178.71589381615914,-2.5247791361573382e-05
2024-01-19,107113.98544804774,3718.028405574167,192.18866806556423,158.83631703997688,-0.00014601001229849736
2024-01-20,106326.97371161153,3707.323814648305,189.6802609880962,174.1929092264428,-0.00024951973743889686
2024-01-21,106995.26305356061,3728.092678745825,189.70014196627193,153.47620575735627,-0.00015369831009031006
2024-01-22,107619.45278716664,3711.2411142970136,187.83222333095958,163.6465618788221,-0.00017626237006656767
2024-01-23,107292.00949683922,3721.7365160523814,187.03198388363853,160.922815793239,-0.0002591863227260512
2024-01-24,106653.2308311931,3711.5626098954963,184.60674800006328,155.93220887400796,-0.00013448294716651078
2024-01-25,106557.31887138092,3702.9847586495416,184.26650080589567,156.74840066199,-0.0001905488000857152
2024-01-26,106856.97232378746,3688.676973849708,181.66421855601243,153.95077173865337,-8.16587426796509e-05
2024-01-27,107046.61241414792,3678.963584126437,180.0182421093089,154.29521078847978,-0.00022216084475817373
