date,capital,daily_return,cumulative_return,hedge_ratio
2024-01-01,10000.0,0.0,0.0,1.0
2024-01-02,9971.827078510882,-0.002817292148911773,-0.002817292148911838,1.0
2024-01-03,9988.214957182401,0.0016434178553732294,-0.001178504281759888,1.0
2024-01-04,10010.189145314558,0.002200011536231169,0.0010189145314558118,1.0
2024-01-05,10033.717585766939,0.0023504491384555,0.003371758576693901,1.0
2024-01-06,10063.828786484,0.0030010014194315295,0.0063828786484000375,1.0
2024-01-07,10096.234439619886,0.0032200123654137496,0.009623443961988595,1.0
2024-01-08,10125.240877123704,0.0028729956378579138,0.01252408771237042,1.0
2024-01-09,10141.281597440782,0.0015842309839086217,0.01412815974407822,1.0
2024-01-10,10145.43670602993,0.00040972223768991154,0.014543670602993006,1.0
2024-01-11,10171.98733853864,0.0026170024295681625,0.017198733853863998,1.0
2024-01-12,10187.556538980813,0.0015305957355239794,0.018755653898081256,1.0
2024-01-13,10211.53800043021,0.002353995421535794,0.021153800043020966,1.0
2024-01-14,10235.600213502043,0.0023563750211591564,0.023560021350204262,1.0
2024-01-15,10256.528760010287,0.002044681901569202,0.025652876001028745,1.0
2024-01-16,10254.455142549425,-0.0002021753664794442,0.025445514254942462,1.0
2024-01-17,10250.538615986954,-0.00038193414550319067,0.025053861598695402,1.0
2024-01-18,10238.592546216583,-0.0011654089817035398,0.02385925462165833,1.0
2024-01-19,10267.082558150165,0.002782610188361303,0.026708255815016492,1.0
2024-01-20,10286.18219811569,0.001860279184213293,0.028618219811568996,1.0
2024-01-21,10300.781897209628,0.001419350621323047,0.030078189720962836,1.0
2024-01-22,10297.152074338781,-0.00035238323722111727,0.029715207433878094,1.0
2024-01-23,10295.632715337517,-0.00014755138025493008,0.029563271533751687,1.0
2024-01-24,10295.437603826398,-1.8950900494803073e-05,0.02954376038263981,1.0
2024-01-25,10316.566113362922,0.0020522206388459184,0.03165661133629219,1.0
2024-01-26,10345.858223600473,0.0028393275355071473,0.034585822360047314,1.0
2024-01-27,10357.48089537851,0.0011234130148356906,0.035748089537851045,1.0
2024-01-28,10359.947046716536,0.00023810339241128048,0.03599470467165356,1.0
2024-01-29,10356.490205099728,-0.00033367367624743873,0.0356490205099728,1.0
2024-01-30,10387.373464777778,0.0029820198799438355,0.03873734647777783,1.0
2024-01-31,10413.170108766853,0.0024834616832203438,0.041317010876685344,1.0
2024-02-01,10433.721076636339,0.0019735553779327898,0.04337210766363387,1.0
2024-02-02,10464.406636342714,0.002940998660112659,0.04644066363427137,1.0
2024-02-03,10656.639920136033,0.018370203918270482,0.06566399201360328,0.3
2024-02-04,10643.835736190647,-0.0012015216842592297,0.06438357361906474,1.0
2024-02-05,10672.557290178065,0.0026984213867337816,0.06725572901780652,1.0
2024-02-06,10978.080854519078,0.02862702499823401,0.09780808545190775,0.3
2024-02-07,10986.18894408331,0.0007385707640232041,0.09861889440833092,1.0
